nct,titulo,sponsor,estado_ct,fase,tipo_estudio,fecha_inicio,fecha_fin
NCT00034905,A Comparison of Seroquel vs. Risperidone in Schizophrenia,AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2001-07,2002-09
NCT02300831,LUMINIST: LUng Cancer Molecular Insights Non Interventional Study,AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2014-12-01,2016-06-30
NCT02224053,Drug-Drug Interaction Study With AZD9291 and Omeprazole in Healthy Volunteers,AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2014-09,2015-01
NCT00641680,Rhinocort Aqua Versus Placebo and Fluticasone Propionate,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2003-04,2003-07
NCT00544986,"A Prospective,Open-label Study of Anastrozole in Post-menopausal Women With Hormone Sensitive Advanced Breast Cancer",AstraZeneca,COMPLETED,PHASE4,INTERVENTIONAL,2005-06,2007-11
NCT00573469,Efficacy and Safety Study of D9421-C 9 mg and 15 mg Versus Placebo in Japanese Patients With Active Crohn's Disease,AstraZeneca,COMPLETED,PHASE2,INTERVENTIONAL,2006-10,2008-03
NCT00642161,New Version Pulmicort Turbuhaler USA Children,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2002-11,2004-09
NCT00684502,"Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD2066 in Young and Elderly Healthy Subjects",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2008-01,2008-11
NCT00291759,ABCSG 8 - Adjuvant Treatment in Patients With Hormone Receptor-positive Breast Cancer With Good to Moderate Differentiation.,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,1996-01,2009-06
NCT06989983,"A Study Designed to Assess the Mass Balance Recovery, Absorption, Metabolism, Excretion of [14C]AZD5462 and the Absolute Bioavailability of AZD5462",AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2025-05-20,2025-06-25
NCT06077045,"Uptake of the Childhood Live Attenuated Influenza Vaccine (LAIV) and Influenza-related Healthcare Resource Use in England During the 2012 to 2022 Flu Seasons; a Retrospective, Observational Study in the CPRD and HES Databases",AstraZeneca,COMPLETED,OBSERVATIONAL,OBSERVATIONAL,2023-01-18,2023-07-04
NCT00434967,Antihypertensive Efficacy and Safety of Candesartan/HCT 32/25 mg in Comparison With Individual Components and Placebo,AstraZeneca,COMPLETED,PHASE3,INTERVENTIONAL,2007-01,2008-01
NCT00681967,Postoperative Radiotherapy Plus Iressa or Radiotherapy Plus Cisplatin and Iressa for Advanced Head & Neck Cancer,AstraZeneca,COMPLETED,PHASE1,INTERVENTIONAL,2004-02,2009-10
NCT03778957,A Global Study to Evaluate Transarterial Chemoembolization (TACE) in Combination With Durvalumab and Bevacizumab Therapy in Patients With Locoregional Hepatocellular Carcinoma,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2018-11-30,2026-08-31
NCT02143466,AZD9291 in Combination With Ascending Doses of Novel Therapeutics,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2014-08-05,2026-12-31
NCT05348577,Study of Capivasertib + Docetaxel vs Placebo + Docetaxel as Treatment for Metastatic Castration Resistant Prostate Cancer (mCRPC),AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2022-03-25,2026-03-04
NCT04556773,A Phase 1b Study of T-DXd Combinations in HER2-low Advanced or Metastatic Breast Cancer,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2020-12-17,2026-06-16
NCT00750841,Study of the Effect of Rifampicin on the Pharmacokinetics (PK) of Multiple Doses of Cediranib in Patients With Solid Tumours,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2008-09-09,2026-12-31
NCT07221981,Study of Patient With Frequent COPD Exacerbations,AstraZeneca,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2024-12-16,2026-06-30
NCT05457257,Clinical Study to Assess the Efficacy and Safety of Olaparib in Chinese Patients With Metastatic Castration-Resistant Prostate Cancer Who Have Failed Prior Treatment With a New Hormonal Agent and Have BRCA1/2 Mutations,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE4,INTERVENTIONAL,2022-07-29,2026-12-31
NCT04606771,A Study Comparing Savolitinib Plus Osimertinib vs Savolitinib Plus Placebo in Patients With EGFRm+ and MET Amplified Advanced NSCLC,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2020-09-28,2026-03-30
NCT06724575,EVOLVE Study: The Real-life Clinical Practice With Tezepelumab in Greece,AstraZeneca,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2024-12-17,2028-06-30
NCT06170671,REAl-world Outcomes in CHronic Lymphocytic Leukemia Patients Receiving Acalabrutinib in Romania,AstraZeneca,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2023-12-13,2028-09-30
NCT05246514,A Single Arm Phase 2 Study to Evaluate Efficacy and Safety of Trastuzumab Deruxtecan for Patients With HER2 Mutant NSCLC,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2022-07-13,2026-06-30
NCT03682068,"Study of Durvalumab Given With Chemotherapy, Durvalumab in Combination With Tremelimumab Given With Chemotherapy, or Chemotherapy in Patients With Unresectable Urothelial Cancer",AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2018-09-27,2027-06-01
NCT04550260,Study of Durvalumab Versus Placebo in Combination With Definitive Chemoradiation Therapy in Patient With ESCC,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2020-10-19,2027-06-30
NCT05943106,"BCG in Combination With Durvalumab in Adult BCG-naïve, High-risk NMIBC Participants",AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2023-08-11,2027-03-31
NCT05138133,Phase 3 Study of Anifrolumab in Adult Patients With Active Proliferative Lupus Nephritis,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2022-02-15,2028-12-05
NCT06450197,Phase IIa Study Evaluating AZD7798 in Crohn's Disease,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2024-08-28,2027-05-14
NCT00463814,AZD6244 (ARRY-142886) Solid Oral Dosage Formulation in Participants With Advanced Solid Malignancies,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2007-03-08,2027-03-26
NCT06605885,"An Observational, Prospective, Multicenter Study to Evaluate the Biologic Use and Outcomes in Chinese Asthma Patients",AstraZeneca,ACTIVE_NOT_RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2024-11-14,2026-09-30
NCT04590235,A Study of Selumetinib in Chinese Paediatric and Adult Subjects With Neurofibromatosis Type 1 (NF1) and Inoperable Plexiform Neurofibromas (PN),AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2020-12-16,2026-08-31
NCT04590963,Assessment of Efficacy and Safety of Monalizumab Plus Cetuximab Compared to Placebo Plus Cetuximab in Recurrent or Metastatic Head and Neck Cancer,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2020-10-02,2026-09-24
NCT04351555,A Study of Osimertinib With or Without Chemotherapy Versus Chemotherapy Alone as Neoadjuvant Therapy for Patients With EGFRm Positive Resectable Non-Small Cell Lung Cancer,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2020-12-16,2029-06-13
NCT07143604,A Study to Investigate the Effects of AZD0901 Monotherapy in Adult Participants With 2L+ Advanced or Metastatic Gastric or GEJ Adenocarcinoma Expressing CLDN18.2,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2025-08-29,2027-09-28
NCT06271837,A Study of T-DXd as Monotherapy or in Combination With Anti-cancer Agents in Patients With Selected HER2-expressing Tumors,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2024-02-22,2027-02-10
NCT00099437,Comparison of Fulvestrant (FASLODEX™) 250 mg and 500 mg in Postmenopausal Women With Oestrogen Receptor Positive Advanced Breast Cancer Progressing or Relapsing After Previous Endocrine Therapy.,AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2005-02-13,2026-12-31
NCT04999969,"Safety, Pharmacokinetics and Clinical Activity of AZD0171 in Combination With Durvalumab and Chemotherapy in Locally Advanced or Metastatic Solid Tumours",AstraZeneca,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,2021-12-10,2026-06-30
NCT06704724,A Study to Learn About the Study Medicine PF-07985045 When Given Alone or With Other Anti-cancer Therapies in People With Advanced Solid Tumors That Have a Change in a Gene.,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2024-12-10,2026-05-12
NCT00137046,Efficacy and Safety of Inhaled Insulin Compared With Subcutaneous Human Insulin Therapy in Adults With Type 1 Diabetes,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2002-05,2008-12
NCT00977561,"A Study Of Cisplatin (Or Carboplatin) And Etoposide With Or Without Figitumumab (CP-751,871) In Patients With Extensive-Stage Small Cell Lung Cancer",Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2010-04,2011-10
NCT04832139,A Study of Marstacimab to Compare Prefilled Pen (PFP) Device to Prefilled Syringe (PFS) Device,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2021-03-30,2021-11-22
NCT01098240,"A Study Of The Efficacy And Safety Of CP-601,927 Augmentation Of Antidepressant Therapy In Major Depression",Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2010-06-14,2011-09-12
NCT00796666,Study Looking at Combination Therapy (Sitaxsentan+Sildenafil) Vs. Monotherapy (Sitaxsentan Alone) SR-PAAS -Sitaxsentan Efficacy And Safety Trial With A Randomized Prospective Assessment Of Adding Sildenafil,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2009-05,2011-03
NCT01911273,A Study To Evaluate The Efficacy And Safety of The Investigational Drug PF-03446962 (A Monoclonal Antibody With Antiangiogenic Features) In Combination With Best Supportive Care Versus Placebo Plus Best Supportive Care In Patients Affected By Recurrent Liver Cancer,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2013-10,2014-07
NCT00311311,Study Comparing Effect On Carotid Atherosclerosis Following Conversion From Tacrolimus To Sirolimus Post-Transplant In Kidney Transplant Patients,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2006-04,2012-01
NCT04173273,A Study Evaluating the Efficacy and Safety of Oral Etrasimod in the Treatment of Adult Participants With Moderately to Severely Active Crohn's Disease,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2020-01-06,2025-06-09
NCT02850406,Study to Evaluate the Effect of GBT440 in Pediatrics With Sickle Cell Disease,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2016-07-05,2023-10-02
NCT05579977,Trial to Learn About the Study Medicine (PF-07081532) and Rybelsus in People With Type 2 Diabetes and Separately PF-07081532 in People With Obesity,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2022-10-27,2023-09-22
NCT04458259,Study of PF-07265807 in Participants With Metastatic Solid Tumors.,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2020-09-24,2024-11-15
NCT00313768,Randomized Ph 2 Trial Of Paclitaxel/Carboplatin /Bevacizumab + PF-3512676 And P/C/B Alone In Advanced Nonsquamous NSCLC,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2005-12,2008-05
NCT03550313,Study to Evaluate the Safety and Immunogenicity of a Multivalent Pneumococcal Vaccine Given With Prevnar 13 in Healthy Infants,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2018-06-01,2020-11-05
NCT01262690,A Study In Healthy Subjects Of Single Doses of PF-05230901 Injected Under The Skin,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2010-11,2011-09
NCT00570063,"Double Blind, Randomized, 3 Week Inpatient Study To Evaluate The Safety & Efficacy Of PF-02545920 Compared With Placebo",Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2007-11,2008-02-18
NCT01092832,"A Study Of The Safety, Tolerability And Effective Of Voriconazole For The Treatment Of Serious Candida Infection And Candida Infection Of The Throat In Pediatric Patients",Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2010-10,2013-06
NCT05878704,Study of GBT021601 in Participants With Renal Impairment,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2023-06-29,2024-07-29
NCT03439514,A Study of ARRY-371797 (PF-07265803) in Patients With Symptomatic Dilated Cardiomyopathy Due to a Lamin A/C Gene Mutation,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2018-04-17,2022-10-13
NCT06120504,A Safety Study of PF-08046045/SGN-35T in Adults With Advanced Cancers,"Seagen, a wholly owned subsidiary of Pfizer",TERMINATED,PHASE1,INTERVENTIONAL,2024-02-29,2025-12-10
NCT00417885,A Clinical Trial Assessing Efficacy and Safety of Sunitinib and Exemestane in Patients With ER [Estrogen Receptor] + and/or PgR [Progesterone Receptor] + Breast Cancer,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2007-06,2009-07
NCT00620568,Study Evaluating Multiple Ascending Dose in Schizophrenia Patients,Wyeth is now a wholly owned subsidiary of Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2008-02,2008-03
NCT03185481,Safety and Tolerability of PF-06649751 in Parkinson's Disease Patients With Motor Fluctuations,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2017-07-06,2017-10-25
NCT01176058,A Study Of The Efficacy And Safety Of Anidulafungin Vs. Fluconazole In The Treatment Of Patients With Candidemia And/Or Other Forms Of Invasive Candidiasis,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2010-12,2011-11
NCT03248141,Understanding Hemophilia A and B Drug Dosage Administration Patterns,Pfizer,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2017-09-01,2018-03-14
NCT00658008,A 10-week Study Evaluating the Efficacy and Safety of PD 0332334 in Patients With Generalized Anxiety Disorder (1),Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2008-04,2009-03
NCT01603394,Pilot Study Of Pregabalin And Prediction Of Treatment Response In Patients With Postherpetic Neuralgia,Pfizer,TERMINATED,PHASE4,INTERVENTIONAL,2012-10,2013-06
NCT05534789,Treatment Patterns and Clinical Outcomes Among Patients With Advanced Renal Cell Carcinoma (aRCC) Receiving Systemic First-line (1st Line) Anti-cancer Treatment Under Daily Routine in Germany: Retrospective Medical Chart Review (RENALISTIC Study).,Pfizer,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2022-10-15,2023-12-13
NCT00108433,Linezolid in the Treatment of Hemodialysis Patients With Catheter-Related Gram-Positive Bloodstream Infections,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2005-09,2006-09
NCT02053116,A 6-Week Study To Determine The Safety And Effect Of An Investigational Drug Given With Canagliflozin In Adults With Type 2 Diabetes Mellitus Taking Metformin,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2014-03,2014-04
NCT05487040,A Study to Measure the Amount of Study Medicine in Blood in Adult Participants With COVID-19 and Severe Kidney Disease,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2022-09-07,2023-07-11
NCT03565991,Javelin BRCA/ATM: Avelumab Plus Talazoparib in Patients With BRCA or ATM Mutant Solid Tumors,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2018-06-18,2023-02-03
NCT00273858,"Study Evaluating the Safety of Etanercept in Rheumatoid Arthritis, Ankylosing Spondylitis and Psoriatic Arthritis",Wyeth is now a wholly owned subsidiary of Pfizer,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2006-03,2010-07
NCT01045863,"To Evaluate Safety, Tolerability, Plasma Drug Levels And Other Biological Effects In Healthy Volunteers",Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2010-02,2010-06
NCT00321308,Trial of Pemetrexed With or Without PF-3512676 in Advanced Non-Small Cell Lung Cancer,Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2006-09,2008-01
NCT00637338,Multiple Dose Escalation Trial Of PF-04603629 Given To Subjects With Type 2 Diabetes Mellitus,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2008-04,2008-09
NCT02680847,Safety and Pharmacokinetic Study of ALO-02 in Children Ages 7-17 With Pain,Pfizer,TERMINATED,PHASE4,INTERVENTIONAL,2016-01-21,2018-01-24
NCT00735943,Macugen Observational Study,Pfizer,TERMINATED,OBSERVATIONAL,OBSERVATIONAL,2008-11,2010-08
NCT00699374,Study Of Sunitinib Malate Versus Sorafenib In Patients With Inoperable Liver Cancer,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2008-07,2011-12
NCT06580938,A Study to Learn About PF-07921585 Alone or With Other Anti-cancer Medicines in People With Cancer,Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2024-11-11,2025-07-14
NCT00396448,"Effect of 2-year Administration of CP-945,598 on Weight Loss Efficacy and Safety.",Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2007-02,2009-02
NCT00676650,Sunitinib Plus Prednisone In Patients With Metastatic Castration-Resistant Prostate Cancer After Failure Of Docetaxel Chemotherapy,Pfizer,TERMINATED,PHASE3,INTERVENTIONAL,2008-07,2011-12
NCT02306876,"A Study To Examine Safety, Pharmacokinetics, And Pharmacodynamic Of Pf 06412562 In Healthy Males",Pfizer,TERMINATED,PHASE1,INTERVENTIONAL,2015-01-19,2016-06-14
NCT04638153,"A Study Of Safety, Tolerability And Effectiveness Of Recifercept In Children With Achondroplasia",Pfizer,TERMINATED,PHASE2,INTERVENTIONAL,2020-12-02,2023-03-27
NCT00655122,"Prophylaxis In Venous Thromboembolism In Primary Care, A Pilot Study",Pfizer,TERMINATED,PHASE4,INTERVENTIONAL,2003-04,2003-12
NCT05895786,A Study to Understand How the Study Medicine (PF-06823859) Works in People With Active Idiopathic Inflammatory Myopathies [Dermatomyositis (DM) and Polymyositis (PM)],Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2023-05-20,2027-07-28
NCT07594769,A Study to Compare the Blood Levels of Two Dosage Formulations of the Study Medicine in Healthy Adults,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2026-05-08,2026-08-31
NCT06995729,A Study to Learn About the Study Medicine Called Zavegepant (PF-07930207) in Children With a History of Migraine,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2025-05-16,2027-08-12
NCT07459686,An Observational Study to Learn About Velsipity After Long Term Use in Patients With Ulcerative Colitis,Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2026-04-27,2029-01-29
NCT03460977,"A Study of Mevrometostat for Treatment of Relapsed/Refractory SCLC, Castration Resistant Prostate Cancer, and Follicular Lymphoma",Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2018-04-17,2029-07-07
NCT07543380,A Study to Learn Safety and Immune Response to Study Vaccine -RSVpreF in Adults at High Risk of Severe RSV Disease.,Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2026-05-11,2026-08-31
NCT07315360,A Study to Learn How the Body Processes the Study Medicine PF-07328948 in People With Reduced Kidney Function,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2026-01-28,2027-03-13
NCT05203172,The FLOTILLA Study: Providing Continued Access to The Study Medicines Encorafenib and Binimetinib for Participants in Prior Clinical Trials,Pfizer,RECRUITING,PHASE4,INTERVENTIONAL,2022-07-05,2029-07-31
NCT05287126,A Study to Evaluate Etrasimod Treatment in Adolescents With Ulcerative Colitis,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2022-12-16,2033-07-10
NCT06215118,A Study to Learn About the Effects of the Combination of Elranatamab (PF-06863135) and Iberdomide in Patients With Relapsed or Refractory Multiple Myeloma (MagnetisMM-30),Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2024-02-20,2028-03-09
NCT07231991,A Study to Learn How the Body Processes the Study Medicine Called Vepdegestrant in People With Loss of Liver Function,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2025-11-18,2026-12-23
NCT07235150,A Study to Learn How Different Amounts of the Study Medicine Called PF-07985631 Are Tolerated and Act in the Body in Healthy Adults,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2025-12-11,2027-08-24
NCT05452941,A Study to Learn About How 20-Valent Pneumococcal Conjugate Vaccine Works in a Real-world Setting,Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2022-10-27,2027-06-04
NCT06760208,A Study to Learn More About Prevenar 20 Once it is Out in the Korean Market,Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2025-11-13,2027-03-01
NCT07431853,A Study to Learn About mRNA Vaccines Against Influenza in Adults,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2026-02-23,2027-06-22
NCT06629779,A Study to Learn How PF-06821497 (Mevrometostat) Works in Men With Metastatic Castration-resistant Prostate Cancer.,Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2024-10-22,2028-11-30
NCT05355701,A Study to Learn About the Study Medicine Called PF-07799933 in People With Advanced Solid Tumors With BRAF Alterations.,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2022-07-05,2029-10-25
NCT06398626,An Observational Study of Etrasimod in Adult Patients With Moderate to Severe Ulcerative Colitis,Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2024-09-17,2028-07-07
NCT07519655,Phase 1 Study of PF-08046033 in Advanced Solid Tumors,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2026-04-08,2029-07-14
NCT07363694,A Study to Learn About the Study Medicine Called PF-07275315 in People With Moderate to Severe Chronic Obstructive Pulmonary Disease,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2026-02-11,2031-01-16
NCT05623020,"A Study to Learn About the Effects of the Combination of Elranatamab, Daratumumab and Lenalidomide Compared With Daratumumab, Bortezomib, Lenalidomide, and Dexamethasone in Patients With Newly Diagnosed Multiple Myeloma Who Are Not Candidates for Transplant",Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2022-11-10,2033-10-03
NCT07073820,A Study to Learn About the Study Medicine (Called PF-07868489) in People With Pulmonary Arterial Hypertension Who Have Previously Participated in a Clinical Study With PF-07868489,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2025-11-10,2028-07-18
NCT05070845,Safety and Efficacy Study of PF-06835375 in Primary Immune Thrombocytopenia,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2022-02-02,2028-08-02
NCT05890612,"A Study on Paxlovid Once in the Market, to Observe Its Safety and Effectiveness in Patients Who Have a High Chance of Getting Severe COVID-19",Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2023-11-29,2029-07-13
NCT07508228,A Study to Understand How a Study Medicine Called PF-07328948 is Absorbed and Processed in the Body of Healthy Male Adults,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2026-04-03,2026-09-24
NCT05431088,A Phase 2/3 Study in Adult and Adolescent Participants With SCD,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2022-09-22,2032-12-31
NCT07144280,A Study to Learn About the Study Medicine Called PF-08046054/SGN-PDL1V Versus Docetaxel in Adult Participants With Previously-Treated Programmed Cell Death Ligand 1 (PD-L1) Positive Non-Small-Cell Lung Cancer (NSCLC),Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2025-09-29,2032-03-10
NCT07090499,A Study to Learn About the Study Medicine Called PF-08046876 in People With Advanced Solid Tumors,Pfizer,RECRUITING,PHASE1,INTERVENTIONAL,2025-08-20,2029-07-08
NCT04389632,A Study of Sigvotatug Vedotin in Advanced Solid Tumors,"Seagen, a wholly owned subsidiary of Pfizer",RECRUITING,PHASE1,INTERVENTIONAL,2020-06-08,2029-03-22
NCT05639647,Study of 2 Medicines (Aztreonam and Avibactam) Compared to Best Available Therapy for Serious Gram-negative Infections,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2023-04-18,2027-03-31
NCT07222566,Symbiotic-Lung-01 : A Study to Learn About the Study Medicine Called PF-08634404 in Combination With Chemotherapy in Adult Participants With Locally Advanced or Metastatic Non-Small Cell Lung Cancer,Pfizer,RECRUITING,PHASE3,INTERVENTIONAL,2026-01-06,2032-08-26
NCT06977581,A Study to Learn About the Study Medicine Called PF-07275315 in People With Moderate-To-Severe Asthma,Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2025-05-20,2027-05-31
NCT05391061,A Study to Learn About the Study Medicine (Called Cibinqo) in People With Atopic Dermatitis,Pfizer,RECRUITING,OBSERVATIONAL,OBSERVATIONAL,2023-01-07,2027-11-22
NCT06487078,Analysis of the Effectiveness and Safety of Lorlatinib in Untreated ALK-Positive NSCLC Patients in a French Real-World Context,Pfizer,RECRUITING,NA,INTERVENTIONAL,2025-01-20,2028-11-30
NCT07470879,"A Study of How the Medicine Called ""Etrasimod"" Works in Children With the Gut Disease Called Ulcerative Colitis",Pfizer,RECRUITING,PHASE2,INTERVENTIONAL,2026-05-28,2034-08-18
